artist,album,release_date,ratings
Tennis,Young and Old,13/02/2012,6.3
Imbogodom,And They Turned Not When They Went,10/02/2012,6.8
Terranova,Hotel Amour,10/02/2012,6
Young Magic,Melt,10/02/2012,6.8
Fucked Up,Year of the Tiger,10/02/2012,7.5
Die Antwoord,Ten$ion,10/02/2012,4.2
Shigeto,Lineage,09/02/2012,6.8
Dr. Dog,Be the Void,09/02/2012,5.7
Homeboy Sandman,Subject: Matter,09/02/2012,7.7
Lindstrom,Six Cups of Rebel,09/02/2012,4.5
Goldfrapp,The Singles,09/02/2012,8.4
Standard Fare,"Out of Sight, Out of Town",08/02/2012,7.1
Liam the Younger,After the Graveyard,08/02/2012,6.3
Daphne Oram,"The Oram Tapes, Vol. 1",08/02/2012,7.4
Yo Gotti,Live From the Kitchen,08/02/2012,5.6
Air,Le Voyage Dans la Lune,08/02/2012,5.7
Imperial Teen,Feel the Sound,07/02/2012,6.2
Mux Mool,Planet High School,07/02/2012,6.7
Wire,"The Black Session: Paris, 10 May 2011",07/02/2012,6.3
Mark Lanegan Band,Blues Funeral,07/02/2012,5.9
John Talabot,fIN,07/02/2012,8.5
Royal Baths,Better Luck Next Life,06/02/2012,6.4
Pete Swanson,Man With Potential,06/02/2012,8.5
The Doozer,Keep it Together,06/02/2012,5.8
A Place to Bury Strangers,Onwards to the Wall EP,06/02/2012,5.8
Of Montreal,Paralytic Stalks,06/02/2012,4.6
Pop. 1280,The Horror,03/02/2012,7.5
Prinzhorn Dance School,Clay Class,03/02/2012,7
Trailer Trash Tracys,Ester,03/02/2012,5.5
Blondes,Blondes,03/02/2012,7.5
AraabMuzik,Instrumental University,03/02/2012,6.4
Benjamin Damage & Doc Daneeka,They!Live,02/02/2012,6.1
Various Artist,Tally Ho! Flying Nun's Greatest Bits,02/02/2012,7.6
The Twilight Sad,No One Can Ever Know,02/02/2012,7.4
Windy & Carl,We Will Always Be,02/02/2012,7.4
Wilco,iTunes Session,02/02/2012,6.7
o F F Love,Probably Love,01/02/2012,2.9
Waka Flocka Flame,Lock Out,01/02/2012,5
Jason Urick,I Love You,01/02/2012,7.9
Black Bananas,Rad Times Xpress IV,01/02/2012,7.8
Leonard Cohen,Old Ideas,01/02/2012,7.4
Laura Gibson,La Grande,31/01/2012,7.4
Wymond Miles,Earth Has Doors,31/01/2012,7.1
Peaking Lights,"936 Remixes 12""",31/01/2012,7
Underworld,Anthology: 1992 to 2012,31/01/2012,7
Sharon Van Etten,Tramp,31/01/2012,7.9
Future,Astronaut Status,30/01/2012,7.1
The 2 Bears,Be Strong,30/01/2012,7.3
Shlohmo,Vacation EP,30/01/2012,7.5
Porcelain Raft,Strange Weekend,30/01/2012,7.4
Lana Del Rey,Born to Die,30/01/2012,5.5
Evan Voytas,Feel Me EP,27/01/2012,3.3
Leila,U&I,27/01/2012,6.2
Rising,To Solemn Ash,27/01/2012,7.6
The Caretaker,Patience (After Sebald),27/01/2012,8
Schoolboy Q,Habits & Contradictions,27/01/2012,8.4
Mighty Sparrow,"Sparrowmania! Wit, Wisdom and Soul From the King of Calypso",26/01/2012,5.8
Howler,America Give Up,26/01/2012,6
Hospitality,Hospitality,26/01/2012,7.4
Heems,Nehru Jackets,26/01/2012,6.5
Pyramids,A Throne Without a King,26/01/2012,7
Various Artist,Pop Ambient 2012,25/01/2012,4.5
The Howling Hex,Wilson Semiconductors,25/01/2012,5.4
The Cramps,File Under Sacred Music: Early Singles 1978-1981,25/01/2012,8
Jacques Greene,Concealer,25/01/2012,6.7
Gonjasufi,MU.ZZ.LE,25/01/2012,7.8
Richard Youngs,Amaranthine,24/01/2012,7
First Aid Kit,The Lion's Roar,24/01/2012,7.6
Lamb of God,Resolution,24/01/2012,3.9
DropxLife,Furthur,24/01/2012,6.2
Craig Finn,Clear Heart Full Eyes,24/01/2012,6
Hubble,Hubble Drums,23/01/2012,7.3
Gangrene,Vodka & Ayahuasca,23/01/2012,7.1
Nada Surf,The Stars Are Indifferent to Astronomy,23/01/2012,4.4
Dizzee Rascal,DirteeTV.com,23/01/2012,7
Cloud Nothings,Attack on Memory,23/01/2012,8.6
Plug,Back on Time,20/01/2012,6.5
Young L,Praktica,20/01/2012,7.1
Alog,Unemployed,20/01/2012,7.9
Machinedrum,SXLND EP,20/01/2012,6.9
Chairlift,Something,20/01/2012,8
Pictureplane,Dimensional Rip 7: Thee Physical Remixes,19/01/2012,5
Wold,Freermasonry,19/01/2012,8.3
The Kinks,Kinks in Mono,19/01/2012,8.5
Snow Patrol,Fallen Empires,19/01/2012,4.8
Matthew Dear,Headcage EP,19/01/2012,6.8
Expensive Looks,Dark Matters,18/01/2012,6.3
Loincloth,Iron Balls of Steel,18/01/2012,7.9
Lupe Fiasco,Friend of the People,18/01/2012,4.8
Cate Le Bon,CYRK,18/01/2012,7.6
Kathleen Edwards,Voyageur,18/01/2012,6.4
Juicy J,Blue Dream & Lean,17/01/2012,5.7
Cardinal,Hymns,17/01/2012,6.4
Wiley,Evolve or Be Extinct,17/01/2012,7.2
T.I.,Fuck Da City Up,17/01/2012,7.1
Trent Reznor,The Girl With the Dragon Tattoo OST,17/01/2012,7
Jakob Olausson,Morning & Sunrise,16/01/2012,7.4
Ernest Gonzales,Natural Traits,16/01/2012,7.4
Todd Terje,It's the Arps,16/01/2012,7.6
Raekwon,Unexpected Victory,16/01/2012,6
The Big Pink,Future This,16/01/2012,5.2
Arrange,Five Years With the Sun EP,13/01/2012,7.2
Pinch,Fabriclive 61,13/01/2012,7.5
Bebetune$,Inhale C-4 $$$$$,13/01/2012,3.8
Drexciya,Journey of the Deep Sea Dweller I,13/01/2012,8.7
Rick Ross,Rich Forever,13/01/2012,8.2
Various Artist,Rush Hour Presents Amsterdam All Stars,12/01/2012,6.4
Mars,Live at Artists Space,12/01/2012,6.8
Vado,Slime Flu 2,12/01/2012,7.2
Oval,OvalDNA,12/01/2012,8.3
Rivers Cuomo,Alone III: The Pinkerton Years,12/01/2012,7.3
Mobb Deep,Black Cocaine EP,11/01/2012,5.4
Escort,Escort,11/01/2012,7.7
Floating Points,Shadows EP,11/01/2012,7.2
Total Control,Henge Beat,11/01/2012,7.8
Nirvana,Live at the Paramount,11/01/2012,8.8
Tin Man,Vienna Blue,10/01/2012,6.7
Household,Items,10/01/2012,7.3
Bobby Charles,Bobby Charles,10/01/2012,8.6
Demdike Stare,Elemental Parts 1 & 2,10/01/2012,7.9
Common,The Dreamer/The Believer,10/01/2012,7.6
Jacaszek,Glimmer,09/01/2012,7.7
Keepaway,Black Flute,09/01/2012,4.7
Alex Chilton,"Free Again: The ""1970"" Sessions",09/01/2012,7.8
Cam'ron,Boss of All Bosses 3,09/01/2012,5.3
Neutral Milk Hotel,Box Set,09/01/2012,9.5
Pterodactyl,Spills Out,06/01/2012,6.6
Jet Life,Jet World Order,06/01/2012,6.7
Squadda B,Back $ellin' Crack,06/01/2012,7
The Cure,Bestival Live 2011,06/01/2012,5.8
Symmetry,Themes For an Imaginary Film,06/01/2012,8.1
Nate Young,Stay Asleep (Regression Vol. 2),05/01/2012,7.5
Jennifer O'Connor,I Want What You Want,05/01/2012,7.3
Gucci Mane,BAYTL,05/01/2012,4.9
Mr. Muthafuckin' eXquire,Merry eXmas & Suck My Dick,05/01/2012,7.2
James Blake,Love What Happened Here EP,05/01/2012,7.9
Vladislav Delay,Vantaa,04/01/2012,6.8
The Do,Both Ways Open Jaws,04/01/2012,7.5
Brodinski,Fabriclive 60,04/01/2012,7.4
The Internet,Purple Naked Ladies,04/01/2012,6
Guided by Voices,Let's Go Eat the Factory,04/01/2012,6.9
Steve Hauschildt,Tragedy & Geometry,03/01/2012,7.4
Dimlite,Grimm Reality,03/01/2012,6.7
Sunn O))),OO VOID,03/01/2012,7.5
Jeezy,Thug Motivation 103: Hustlerz Ambition,03/01/2012,6.7
The Weeknd,Echoes of Silence,03/01/2012,8.1
Mike G,The Award Tour EP,09/12/2011,5.5
The Strange Boys,Live Music,09/12/2011,6.2
Darkside,Darkside EP,09/12/2011,8
Can,Tago Mago [40th Anniversary Edition],09/12/2011,10
Amy Winehouse,Lioness: Hidden Treasures,09/12/2011,6.3
Kate Wax,Dust Collision,08/12/2011,7.3
Various Artist,Bambara Mystic Soul: The Raw Sound of Burkina Faso 1974-1979,08/12/2011,8.5
Mac Miller,Blue Slide Park,08/12/2011,1
Emika,Emika,08/12/2011,7.4
This Mortal Coil,HDCD Box Set,08/12/2011,9
Eddy Current Suppression Ring,So Many Things,07/12/2011,7.4
Wives,The Roy Tapes,07/12/2011,6.7
Keep Shelly in Athens,Campus Martius,07/12/2011,6.9
Charlotte Gainsbourg,Stage Whisper,07/12/2011,6.8
Throbbing Gristle,The Second Annual Report of Throbbing Gristle,07/12/2011,8.6
Desertshore,Drawing of Threes,06/12/2011,6.9
Fred Falke,Part IV,06/12/2011,6.5
Laura Veirs,Tumble Bee,06/12/2011,7.5
Fennesz,Flumina,06/12/2011,7
The Roots,Undun,06/12/2011,7.3
Quilt,Quilt,05/12/2011,7.2
Co La,Daydream Repeater,05/12/2011,6.2
Kid Sister,Kiss & Tell EP,05/12/2011,5.2
Yamantaka // Sonic Titan,YT//ST,05/12/2011,8.2
Jonsi,We Bought a Zoo OST,05/12/2011,7
yMusic,Beautiful Mechanical,02/12/2011,6.7
Crystal Stilts,Radiant Door EP,02/12/2011,7.4
Statik Selektah,Well-Done,02/12/2011,7.1
Childish Gambino,Camp,02/12/2011,1.6
The Black Keys,El Camino,02/12/2011,7.4
Luke Roberts,Big Bells and Dime Songs,01/12/2011,7.5
The Bats,Free All the Monsters,01/12/2011,7.5
Radio Slave,Works: Selected Remixes 2006-2010,01/12/2011,6.9
The Fall,Ersatz G.B.,01/12/2011,2.2
Yelawolf,Radioactive,01/12/2011,6.5
Dwarr,Starting Over,30/11/2011,5.9
Maria Minerva,Sacred & Profane Love EP,30/11/2011,7.1
Patrick Wolf,Brumalia EP,30/11/2011,5.9
Twilight Singers,Live in New York,30/11/2011,8
Zomby,Nothing EP,30/11/2011,7.5
M.E.D.,Classic,29/11/2011,6.1
The Louvin Brothers,Satan Is Real,29/11/2011,8.5
Salem,I'm Still in the Night EP,29/11/2011,6.4
Lil B,BasedGod Velli,29/11/2011,7.8
Gorillaz,The Singles Collection 2001-2011,29/11/2011,7.9
Canyons,Keep Your Dreams,28/11/2011,6.5
Doomtree,No Kings,28/11/2011,7.9
Tycho,Dive,28/11/2011,7
Kingdom,Dreama EP,28/11/2011,8.2
The Smashing Pumpkins,Gish [Deluxe Edition],28/11/2011,8.3
Summer Camp,Welcome to Condale,23/11/2011,5.4
North Highlands,Wild One,23/11/2011,6.7
Various Artist,"Boddie Recording Company: Cleveland, Ohio",23/11/2011,7.5
Ty Segall,Singles: 2007-2010,23/11/2011,8.3
Rihanna,Talk That Talk,23/11/2011,6
Calexico,Selections From Road Atlas 1998-2011,22/11/2011,7.5
U.S. Girls,U.S. Girls on KRAAK,22/11/2011,7.9
Boris,New Album,22/11/2011,6.5
Thee Oh Sees,Carrion Crawler/The Dream,22/11/2011,8
Sepalcure,Sepalcure,22/11/2011,8.4
Deptford Goth,Youth II EP,21/11/2011,6.8
Blues Control,FRKWYS Vol. 8,21/11/2011,7.8
The Antlers,(together) EP,21/11/2011,3
G-Side,iSLAND,21/11/2011,7.9
Kate Bush,50 Words for Snow,21/11/2011,8.5
Zambri,Glossolalia EP,18/11/2011,4.2
Pinch & Shackleton,Pinch & Shackleton,18/11/2011,7.3
Carter Tanton,Freeclouds,18/11/2011,5.7
Kieran Hebden,Live at the South Bank,18/11/2011,8
The Smiths,The Smiths Complete,18/11/2011,8.1
Onra,"Chinoiseries, Pt. 2",17/11/2011,5
Zed Bias,Biasonic Hotsauce: Birth of the Nanocloud,17/11/2011,6
Blut Aus Nord,777: The Desanctification,17/11/2011,8.2
Future,Streetz Calling,17/11/2011,6.9
The Olivia Tremor Control,Music From the Unrealized Film Script: Dusk at Cubist Castle,17/11/2011,9.1
Ursula Bogner,Sonne = Blackbox,16/11/2011,7.4
Esben and the Witch,Hexagons EP,16/11/2011,5.2
Korallreven,An Album by Korallreven,16/11/2011,7.5
Los Campesinos!,Hello Sadness,16/11/2011,8
Sigur Ros,Inni,16/11/2011,7.2
Cynic,Carbon-Based Anatomy EP,15/11/2011,7.6
BNJMN,Black Square,15/11/2011,7.8
Gonjasufi,The 9th Inning EP,15/11/2011,7.6
Freddie Gibbs,Cold Day in Hell,15/11/2011,8.2
R.E.M.,"Part Lies, Part Heart, Part Truth, Part Garbage: 1982-2011",15/11/2011,9.4
Leviathan,"True Traitor, True Whore",14/11/2011,6
Rangers,Pan Am Stories,14/11/2011,6.2
Blackout Beach,Fuck Death,14/11/2011,7.3
Various Artist,Bangs & Works Vol. 2,14/11/2011,7.8
Drake,Take Care,14/11/2011,8.6
Teebs,Collections 01,11/11/2011,7
Russian Circles,Empros,11/11/2011,7.7
FaltyDL,Atlantis,11/11/2011,7.4
King Krule,King Krule EP,11/11/2011,8
Oneohtrix Point Never,Replica,11/11/2011,8.8
Spectrals,Bad Penny,10/11/2011,7.5
Wet Illustrated,1x1x1,10/11/2011,6.8
Future of the Left,Polymers Are Forever EP,10/11/2011,6.3
Royal Trux,"Singles, Live, Unreleased",10/11/2011,8.2
A$AP Rocky,LIVELOVEA$AP,10/11/2011,8.2
Fatima Al Qadiri,Genre-Specific Xperience,09/11/2011,7.5
200 Years,200 Years,09/11/2011,7.7
Coasting,You're Never Going Back,09/11/2011,6.8
Cass McCombs,Humor Risk,09/11/2011,7.6
U2,Achtung Baby [Super Deluxe Edition],09/11/2011,9.5
Misfits,The Devil's Rain,08/11/2011,3.9
Nacho Picasso,For the Glory,08/11/2011,7.9
Brian Eno,Panic of Looking,08/11/2011,5.9
Pusha T,Fear of God II: Let Us Pray,08/11/2011,7.1
David Lynch,Crazy Clown Time,08/11/2011,6.1
patten,GLAQJO XAACSSO,07/11/2011,6.7
Various Artist,IOTDXI,07/11/2011,7.1
The Juan MacLean,Everybody Get Close,07/11/2011,7
Kurt Vile,So Outta Reach EP,07/11/2011,7.9
Atlas Sound,Parallax,07/11/2011,8.7
Evangelista,In Animal Tongue,04/11/2011,6.8
James Ferraro,Far Side Virtual,04/11/2011,7.6
Theo Parrish,Uget,04/11/2011,8
Wale,Ambition,04/11/2011,6.7
Joker,The Vision,04/11/2011,4.2
Cave,Neverendless,03/11/2011,7.9
Prurient,Time's Arrow EP,03/11/2011,7
Roman Flugel,Fatty Folders,03/11/2011,8
Blouse,Blouse,03/11/2011,7.4
Florence and the Machine,Ceremonials,03/11/2011,6
Weird Wives,Some Motherfuckers Gonna Be Walking 'Round With a Size 9 Diehard up Their Ass...,02/11/2011,5
Locrian,The Clearing,02/11/2011,7.4
Erkin Koray,Mechul: Singles & Rarities,02/11/2011,8.1
King Midas Sound,Without You,02/11/2011,7.7
The Beach Boys,The Smile Sessions,02/11/2011,10
Phantogram,Nightlife EP,01/11/2011,7.1
The King Khan Experience,Scion A/V Presents: The King Khan Experience,01/11/2011,5.3
Pandr Eyez,Eyes on You EP,01/11/2011,7.9
Gold Panda,DJ-Kicks,01/11/2011,7.5
Metallica,Lulu,01/11/2011,1
L-Vis 1990,Neon Dreams,31/10/2011,6.2
The Soft Moon,Total Decay EP,31/10/2011,7.8
Hammers of Misfortune,17th Street,31/10/2011,8
Black Milk,Black and Brown,31/10/2011,6.5
The Decemberists,Long Live the King EP,31/10/2011,6.8
Mungolian Jet Set,Schlungs,28/10/2011,6.7
Psychic Ills,Hazed Dream,28/10/2011,5.9
Young Bleed,Preserved,28/10/2011,7.9
Void,Sessions 1981-83,28/10/2011,7.3
She & Him,A Very She & Him Christmas,28/10/2011,5.3
Jam City,Waterworx EP,27/10/2011,7.2
Deer Tick,Divine Providence,27/10/2011,3.9
Meek Mill,Dreamchasers,27/10/2011,7.4
Andy Stott,We Stay Together,27/10/2011,8.2
John Fahey,Your Past Comes Back to Haunt You: The Fonotone Years (1958-1965),27/10/2011,9.5
Hans-Joachim Roedelius,Wasser Im Wind,26/10/2011,7.6
The Duke Spirit,Bruiser,26/10/2011,6.5
Machine Head,Unto the Locust,26/10/2011,7.7
Various Artist,"FAC. DANCE: Factory Records 12"" Mixes & Rarities 1980-1987",26/10/2011,7.5
Coldplay,Mylo Xyloto,26/10/2011,7
Rob Crow,He Thinks He's People,25/10/2011,6.5
Roberto Cacciapaglia,The Ann Steel Album,25/10/2011,7.6
King Blood,Eyewash Silver,25/10/2011,7.5
Scuba,DJ-Kicks,25/10/2011,8
Justice,"Audio, Video, Disco",25/10/2011,5.3
Stevie Jackson,(I Can't Get No) Stevie Jackson,24/10/2011,5.6
Mondkopf,Rising Doom,24/10/2011,6.2
The Beets,Let the Poison Out,24/10/2011,7.7
Surfer Blood,Tarot Classics EP,24/10/2011,7.2
Tom Waits,Bad as Me,24/10/2011,8.1
Milagres,Glowing Mouth,21/10/2011,5.9
Cubic Zirconia,Follow Your Heart,21/10/2011,4.3
White Denim,Takes Place in Your Work Space EP,21/10/2011,7.1
Sandro Perri,Impossible Spaces,21/10/2011,8.3
Talk Talk,Laughing Stock,21/10/2011,10
Water Borders,Harbored Mantras,20/10/2011,6.6
Twerps,Twerps,20/10/2011,7.9
Still Corners,Creatures of an Hour,20/10/2011,6.5
Class Actress,Rapprocher,20/10/2011,7.1
Dntel,Life Is Full of Possibilities [Deluxe Edition],20/10/2011,8.8
Prince Rama,Trust Now,19/10/2011,5.8
Gauntlet Hair,Gauntlet Hair,19/10/2011,7.8
My Brightest Diamond,All Things Will Unwind,19/10/2011,6.5
Julia Holter,Tragedy,19/10/2011,8
Various Artist,Norman OST,19/10/2011,7.3
Mark Sultan,Whatever/Whenever,18/10/2011,5.8
Kuedo,Severant,18/10/2011,7.7
Rustie,Glass Swords,18/10/2011,8
Noel Gallagher's High Flying Birds,Noel Gallagher's High Flying Birds,18/10/2011,5.7
Real Estate,Days,18/10/2011,8.7
Jonti,Twirligig,17/10/2011,6.1
Forest Fire,Staring at the X,17/10/2011,7.1
The Atlas Moth,An Ache for the Distance,17/10/2011,8.1
Jane's Addiction,The Great Escape Artist,17/10/2011,5
M83,"Hurry Up, We're Dreaming",17/10/2011,9.1
Dreamers of the Ghetto,Enemy/Lover,14/10/2011,7.6
Icebird,The Abandoned Lullaby,14/10/2011,7.2
Casiokids,Aabenbaringen Over Aaskammen,14/10/2011,6
Matthew Herbert,One Pig,14/10/2011,8
Trash Talk,Awake,14/10/2011,8.2
Hull,Beyond the Lightless Sky,13/10/2011,6.9
Xeno & Oaklander,Sets and Lights,13/10/2011,7.3
Julianna Barwick,The Matrimony Remixes EP,13/10/2011,6
High Places,Original Colors,13/10/2011,5.9
Bjork,Biophilia,13/10/2011,6.2
Pallers,The Sea of Memories,12/10/2011,7.1
Skeletonwitch,Forever Abomination,12/10/2011,7.3
Crooked Fingers,Breaks in the Armor,12/10/2011,6.7
Bombay Bicycle Club,A Different Kind of Fix,12/10/2011,7
"Bonnie ""Prince"" Billy",Wolfroy Goes to Town,12/10/2011,7.8
The Drift,Blue Hour,11/10/2011,6
Total Babes,Swimming Through Sunlight,11/10/2011,6.6
Absu,Abzu,11/10/2011,7.4
Various Artist,Drive OST,11/10/2011,7.4
Ryan Adams,Ashes & Fire,11/10/2011,6.5
Bullion,You Drive Me to Plastic,10/10/2011,7.1
Walls,Coracle,10/10/2011,6.8
Future Islands,On the Water,10/10/2011,7.7
Tim Hecker,Dropped Pianos,10/10/2011,7.8
Radiohead,TKOL RMX 1234567,10/10/2011,6
Martyn,Ghost People,07/10/2011,7.2
Various Artist,Tropical 2,07/10/2011,8.3
Ayshay,WARN-U EP,07/10/2011,7.2
Blue Daisy,The Sunday Gift,07/10/2011,7.5
James Blake,Enough Thunder EP,07/10/2011,6.4
Loney Dear,Hall Music,06/10/2011,6.7
Chelsea Wolfe,Apokalypsis,06/10/2011,7.3
John Cale,Extra Playful EP,06/10/2011,6
Miles Davis,"The Bootleg Series, Volume 1: Live in Europe 1967",06/10/2011,9
DJ Shadow,"The Less You Know, the Better",06/10/2011,4.5
Young Man,Ideas of Distance,05/10/2011,5.5
Stare Case,Lose Today,05/10/2011,7.4
Gui Boratto,III,05/10/2011,6.4
MGMT,LateNightTales,05/10/2011,7.8
Zola Jesus,Conatus,05/10/2011,7.7
Luomo,Plus,04/10/2011,7.8
Sleep [?] Over,Forever,04/10/2011,7
The Embassy,Life in the Trenches,04/10/2011,8
Superchunk,Foolish,04/10/2011,8.8
DRC Music,Kinshasa One Two,04/10/2011,6.8
Leyland Kirby,Eager to Tear Apart the Stars,03/10/2011,7.9
We Were Promised Jetpacks,In the Pit of the Stomach,03/10/2011,5.8
Modeselektor,Monkeytown,03/10/2011,7.4
Colin Stetson,Those Who Didn't Run,03/10/2011,7.8
Feist,Metals,03/10/2011,7.7
Bill Orcutt,How the Thing Sings,30/09/2011,8
Craig Wedren,WAND,30/09/2011,7.6
J. Cole,Cole World: The Sideline Story,30/09/2011,6.1
Spank Rock,Everything Is Boring & Everyone Is a Fucking Liar,30/09/2011,3.5
Mastodon,The Hunter,30/09/2011,7.5
Cerebral Ballzy,Cerebral Ballzy,29/09/2011,4.8
Various Artist,This May Be My Last Time Singing,29/09/2011,8.4
Maria Minerva,Cabaret Cixous,29/09/2011,6.8
Mr. Muthafuckin' eXquire,Lost in Translation,29/09/2011,7.9
Youth Lagoon,The Year of Hibernation,29/09/2011,8.4
Plaid,Scintilli,28/09/2011,5.8
Mekons,Ancient & Modern 1911-2011,28/09/2011,6.6
The Stepkids,The Stepkids,28/09/2011,6.5
Rwake,Rest,28/09/2011,7.8
Dum Dum Girls,Only in Dreams,28/09/2011,7.6
Total Slacker,Thrashin',27/09/2011,6.7
Speculator,Nice,27/09/2011,7.4
Brett Anderson,Black Rainbows,27/09/2011,5.8
Opeth,Heritage,27/09/2011,6.9
Nirvana,Nevermind [20th Anniversary Edition],27/09/2011,10
Big Troubles,Romantic Comedy,26/09/2011,5.9
Gem Club,Breakers,26/09/2011,6.9
Mark McGuire,Get Lost,26/09/2011,7.9
Twin Sister,In Heaven,26/09/2011,7.8
Wilco,The Whole Love,26/09/2011,6.9
bvdub,I Remember,23/09/2011,6.5
Jack Oblivian,Rat City,23/09/2011,7.5
Fred McDowell,The Alan Lomax Recordings,23/09/2011,8.5
Ariel Pink's Haunted Graffiti,"""Witchhunt Suite for WWIII""",23/09/2011,7.8
Wolves in the Throne Room,Celestial Lineage,23/09/2011,8.6
Tropics,Parodia Flare,22/09/2011,6.7
Fatoumata Diawara,Fatou,22/09/2011,7.6
Paul White,Rapping With Paul White,22/09/2011,6.7
Van Dyke Parks,"Arrangements, Vol. 1",22/09/2011,8.6
Jens Lekman,An Argument With Myself EP,22/09/2011,7.9
S.C.U.M.,Again Into Eyes,21/09/2011,6.7
Boom Bip,Zig Zaj,21/09/2011,6.6
Weekend,Red EP,21/09/2011,7.4
Mikal Cronin,Mikal Cronin,21/09/2011,8.1
Four Tet,Fabriclive 59,21/09/2011,8
Tammar,Visits,20/09/2011,7.7
Blitzen Trapper,American Goldwing,20/09/2011,5.4
Apparat,The Devil's Walk,20/09/2011,6.6
Baths,Pop Music / False B-Sides,20/09/2011,7.4
Disco Inferno,The 5 EPs,20/09/2011,9.4
Regina,Soita Mulle,19/09/2011,7
CHLLNGR,Haven,19/09/2011,6.1
Veronica Falls,Veronica Falls,19/09/2011,7.7
Megafaun,Megafaun,19/09/2011,7.8
Wavves,Life Sux EP,19/09/2011,6.7
Fungi Girls,Some Easy Magic,16/09/2011,7.3
Slow Club,Paradise,16/09/2011,7.8
Omar S,"It Can Be Done, But Only I Can Do It",16/09/2011,8
The Drums,Portamento,16/09/2011,7.4
Das Racist,Relax,16/09/2011,6.3
Vaz,Chartreuse Bull,15/09/2011,7.6
808 State,Blueprint: The Best of 808 State,15/09/2011,7.5
DaVinci,Feast or Famine EP,15/09/2011,8
Clap Your Hands Say Yeah,Hysterical,15/09/2011,5.6
Neon Indian,Era Extrana,15/09/2011,7.9
Pink Skull,Psychic Welfare,14/09/2011,5.3
A Winged Victory for the Sullen,A Winged Victory for the Sullen,14/09/2011,7.3
Ladytron,Gravity the Seducer,14/09/2011,6
Curren$y,Verde Terrace,14/09/2011,7.3
Wild Flag,Wild Flag,14/09/2011,8
Laura Marling,A Creature I Don't Know,13/09/2011,7.6
CANT,Dreams Come True,13/09/2011,6.1
Circle of Ouroborus,Eleven Fingers,13/09/2011,8
Mogwai,Earth Division EP,13/09/2011,6.4
St. Vincent,Strange Mercy,13/09/2011,9
Mates of State,Mountaintops,12/09/2011,7.1
The Raincoats,Odyshape,12/09/2011,8
Hella,Tripper,12/09/2011,6
Toro Y Moi,Freaking Out EP,12/09/2011,8
Girls,"Father, Son, Holy Ghost",12/09/2011,9.3
Gotye,Making Mirrors,09/09/2011,7.7
Whatever Brains,Whatever Brains,09/09/2011,7.4
Steve Reich and Kronos Quartet,WTC 9/11,09/09/2011,7
Art of Noise,Who's Afraid of the Art of Noise [Deluxe Edition],09/09/2011,8.6
Ricardo Villalobos and Max Loderbauer,Re: ECM,09/09/2011,7.9
CSS,La Liberacion,08/09/2011,5.2
Main Attrakionz,808s & Dark Grapes II,08/09/2011,7.5
Winter Family,Red Sugar,08/09/2011,7.9
YOB,Atma,08/09/2011,8.3
Terius Nash,1977,08/09/2011,7.9
Peter Wolf Crier,Garden of Arms,07/09/2011,6
Grimes,Geidi Primes,07/09/2011,7.5
Memoryhouse,The Years EP,07/09/2011,6.3
Cymbals Eat Guitars,Lenses Alien,07/09/2011,8
The Field,Looping State of Mind,07/09/2011,8.5
HTRK,"Work (work, work)",06/09/2011,5.7
Throwing Muses,Anthology,06/09/2011,8
Shimmering Stars,Violent Hearts,06/09/2011,7.1
Elite Gymnastics,Ruin,06/09/2011,7.8
The Rapture,In the Grace of Your Love,06/09/2011,7.2
Jacuzzi Boys,Glazin',02/09/2011,6.2
Oupa,Forget,02/09/2011,6.3
Deleted Scenes,Young People's Church of the Air,02/09/2011,7.8
Azari & III,Azari & III,02/09/2011,7.3
Thundercat,The Golden Age of Apocalypse,02/09/2011,8.1
Cosmin TRG,Simulat,01/09/2011,7.4
Motion Sickness of Time Travel,Luminaries & Synastry,01/09/2011,7.8
Case Studies,The World Is Just a Shape to Fill the Night,01/09/2011,7.3
Red Hot Chili Peppers,I'm With You,01/09/2011,4
Stephin Merritt,Obscurities,01/09/2011,7.5
Sun Araw,Ancient Romans,31/08/2011,7.9
Glen Campbell,Ghost on the Canvas,31/08/2011,6.5
Alias,Fever Dream,31/08/2011,7.2
Big K.R.I.T.,Last King 2: God's Machine,31/08/2011,6.4
Grandaddy,The Sophtware Slump,31/08/2011,8.5
Big Business,Quadruple Single EP,30/08/2011,7
Magic Trick,The Glad Birth of Love,30/08/2011,7
Patti Smith,Outside Society,30/08/2011,5.9
Male Bonding,Endless Now,30/08/2011,8
Lil Wayne,Tha Carter IV,30/08/2011,6.2
PS I Love You,Figure It Out,29/08/2011,6.9
Purling Hiss,Lounge Lizards EP,29/08/2011,7.5
Tinariwen,Tassili,29/08/2011,7.8
The Game,The R.E.D. Album,29/08/2011,4.8
Balam Acab,Wander / Wonder,29/08/2011,8.2
Amen Dunes,Through Donkey Jaw,26/08/2011,7.5
Nick Diamonds,I Am an Attic,26/08/2011,6.4
Blood Orange,Coastal Grooves,26/08/2011,5.9
Active Child,You Are All I See,26/08/2011,7.2
Danny Brown,XXX,26/08/2011,8.2
Ganglians,Still Living,25/08/2011,6.9
Gold Leaves,The Ornament,25/08/2011,7.7
Wooden Shjips,West,25/08/2011,7.3
I Break Horses,Hearts,25/08/2011,7.2
The Weeknd,Thursday,25/08/2011,7.9
