artist,album,metascore,userscore,release_date
The Replacements,For Sale: Live at Maxwell's 1986,86,8.8,"Oct  6, 2017"
Deradoorian,Eternal Recurrence,72,tbd,"Oct  6, 2017"
Seamus Fogarty,The Curious Hand,84,tbd,"Oct  6, 2017"
Jamila Woods,HEAVN,83,7.7,"Oct  6, 2017"
John Lee Hooker,King of the Boogie [Craft] [Box Set],90,tbd,"Oct  6, 2017"
Melanie De Biasio,Lilies,81,tbd,"Oct  6, 2017"
Mister Heavenly,Boxing the Moonlight,70,tbd,"Oct  6, 2017"
Shigeto,The New Monday,72,tbd,"Oct  6, 2017"
Obituary,Obituary,85,7.5,"Mar 17, 2017"
Rick Ross,Rather You Than Me,71,6.8,"Mar 17, 2017"
Pitbull,Climate Change,64,4.4,"Mar 17, 2017"
Zara Larsson,So Good,76,7.6,"Mar 17, 2017"
Fairport Convention,50:50@50,72,tbd,"Mar 17, 2017"
CFCF,Cascades [EP],81,tbd,"Mar 17, 2017"
Gabriella Cohen,Full Closure and No Details,77,tbd,"Mar 17, 2017"
Greg Graffin,Millport,73,tbd,"Mar 10, 2017"
The Mynabirds,Be Here Now,74,tbd,"Aug 25, 2017"
Joseph Shabason,Aytche,82,tbd,"Aug 25, 2017"
Lil Uzi Vert,Luv Is Rage 2,75,6.4,"Aug 25, 2017"
Maya Jane Coles,Take Flight,72,tbd,"Aug 25, 2017"
Lukas Nelson & Promise of the Real,Lukas Nelson & Promise of the Real [2017],82,tbd,"Aug 25, 2017"
Kelley Stoltz,Que Aura,81,tbd,"Aug 25, 2017"
Rolling Blackouts Coastal Fever,Talk Tight [EP],75,tbd,"Aug 25, 2017"
Lilly Hiatt,Trinity Lane,84,tbd,"Aug 25, 2017"
Brand New,Science Fiction,88,8.3,"Aug 19, 2017"
Everything Everything,A Fever Dream,81,7.8,"Aug 18, 2017"
Lone,DJ-Kicks,77,tbd,"Oct  6, 2017"
Klein,Tommy [EP],83,tbd,"Oct  6, 2017"
Levon Vincent,For Paris,79,tbd,"Oct  2, 2017"
The World Is a Beautiful Place & I Am No Longer Afraid to Die,Always Foreign,80,6.9,"Sep 29, 2017"
Ben Frost,The Centre Cannot Hold,75,8.0,"Sep 29, 2017"
Wolf Alice,Visions of a Life,81,8.3,"Sep 29, 2017"
Protomartyr,Relatives in Descent,85,7.8,"Sep 29, 2017"
Pere Ubu,20 Years in a Montana Missile Silo,78,tbd,"Sep 29, 2017"
Marry Waterson,Death Had Quicker Wings Than Love,84,tbd,"Sep 29, 2017"
Torres,Three Futures,79,7.2,"Sep 29, 2017"
Idles,Brutalism,88,7.9,"Mar 10, 2017"
Cameron Avery,"Ripe Dreams, Pipe Dreams",70,7.4,"Mar 10, 2017"
The Shins,Heartworms,73,7.4,"Mar 10, 2017"
Valerie June,The  Order of Time,89,7.9,"Mar 10, 2017"
Laura Marling,Semper Femina,85,8.0,"Mar 10, 2017"
Magnetic Fields,50 Song Memoir,86,7.6,"Mar 10, 2017"
Hurray for the Riff Raff,The Navigator,83,7.1,"Mar 10, 2017"
Spectres,Condition,81,tbd,"Mar 10, 2017"
Darkest Hour,Godless Prophets & the Migrant Flora,74,tbd,"Mar 10, 2017"
Jay Som,Everybody Works,82,7.8,"Mar 10, 2017"
Sir Was,Digging a Tunnel,61,tbd,"Mar 10, 2017"
Grizzly Bear,Painted Ruins,82,8.3,"Aug 18, 2017"
UNKLE,"The Road, Vol. 1",71,7.5,"Aug 18, 2017"
Steven Wilson,To the Bone,77,8.3,"Aug 18, 2017"
Shelby Lynne,Not Dark Yet,75,tbd,"Aug 18, 2017"
Judy Dyble,Summer Dancing,74,tbd,"Aug 18, 2017"
Dent May,Across the Multiverse,79,8.2,"Aug 18, 2017"
Liane Carroll,The Right to Love,80,tbd,"Aug 18, 2017"
Rainer Maria,S/T,80,tbd,"Aug 18, 2017"
Paul Draper,Spooky Action,79,7.6,"Aug 18, 2017"
Matthew Bourne,Isotach,80,tbd,"Aug 18, 2017"
Miley Cyrus,Younger Now,58,6.8,"Sep 29, 2017"
Loney Dear,Loney Dear,69,tbd,"Sep 29, 2017"
Shania Twain,Now,58,6.5,"Sep 29, 2017"
Kamasi Washington,Harmony of Difference [EP],81,7.7,"Sep 29, 2017"
David Crosby,Sky Trails,76,tbd,"Sep 29, 2017"
Primus,The Desaturating Seven,68,7.8,"Sep 29, 2017"
Ibeyi,Ash,78,8.1,"Sep 29, 2017"
Hurts,Desire,61,6.5,"Sep 29, 2017"
Andrew Weatherall,Qualia,73,tbd,"Sep 29, 2017"
Tennis,Yours Conditionally,72,7.7,"Mar 10, 2017"
Nathan Fake,Providence,73,tbd,"Mar 10, 2017"
Bush,Black and White Rainbows,49,4.4,"Mar 10, 2017"
Porter Ray,Watercolor,71,tbd,"Mar 10, 2017"
The Yawpers,Boy in a Well,82,tbd,"Aug 18, 2017"
Ray Wylie Hubbard,Tell the Devil I'm Gettin' There as Fast as I Can,79,tbd,"Aug 18, 2017"
Rat Boy,Scum,74,7.0,"Aug 11, 2017"
Blondes,Warmth,76,tbd,"Aug 11, 2017"
Downtown Boys,Cost of Living,78,7.3,"Aug 11, 2017"
Kesha,Rainbow,81,8.4,"Aug 11, 2017"
David Rawlings,Poor David's Almanack,80,tbd,"Aug 11, 2017"
Frankie Rose,Cage Tropical,79,8.0,"Aug 11, 2017"
Oneohtrix Point Never,Good Time [Original Motion Picture Soundtrack],80,8.2,"Aug 11, 2017"
The Cribs,24-7 Rockstar Shit,68,7.8,"Aug 11, 2017"
Demi Lovato,Tell Me You Love Me,72,8.2,"Sep 29, 2017"
David Bowie,A New Career in a New Town (1977-1982) [Box Set],85,7.8,"Sep 29, 2017"
Jessica Lea Mayfield,Sorry Is Gone,84,tbd,"Sep 29, 2017"
Brix & the Extricated,Part 2,69,tbd,"Sep 29, 2017"
Unsane,Sterilize,77,tbd,"Sep 29, 2017"
High Plains,Cinderland,69,tbd,"Mar 10, 2017"
Circa Waves,Different Creatures,78,6.9,"Mar 10, 2017"
Paul Weller,Jawbone [Original Motion Picture Soundtrack],68,tbd,"Mar 10, 2017"
Pieta Brown,Postcards,75,tbd,"Mar 10, 2017"
Ha Ha Tonka,Heart-Shaped Mountain,78,tbd,"Mar 10, 2017"
Shobaleader One,Elektrac,71,tbd,"Mar 10, 2017"
Your Old Droog,Packs,81,7.0,"Mar 10, 2017"
Soundgarden,Ultramega OK [Expanded Reissue],78,tbd,"Mar 10, 2017"
Murs,Captain California,82,tbd,"Mar 10, 2017"
Paul Kelly,Life Is Fine,80,tbd,"Aug 11, 2017"
The Districts,Popular Manipulations,76,7.6,"Aug 11, 2017"
Guided by Voices,How Do You Spell Heaven,75,tbd,"Aug 11, 2017"
Amy O,Elastic,66,tbd,"Aug 11, 2017"
Trailer Trash Tracys,Althaea,68,tbd,"Aug 11, 2017"
Charli XCX,Number 1 Angel [Mixtape],73,8.4,"Mar 10, 2017"
Venn,Runes,74,tbd,"Mar 10, 2017"
Mallory Knox,Wired,75,tbd,"Mar 10, 2017"
R. Stevie Moore,Make It Be,79,tbd,"Mar 10, 2017"
Damaged Bug,Bunker Funk,78,tbd,"Mar 10, 2017"
Can't Swim,Fail You Again,78,tbd,"Mar 10, 2017"
Photay,Onism,80,tbd,"Aug 11, 2017"
Milo,Who Told You To Think?,84,8.1,"Aug 11, 2017"
Randy Newman,Dark Matter,82,7.5,"Aug  4, 2017"
Rolling Blackouts Coastal Fever,The French Press [EP],81,tbd,"Mar 10, 2017"
Jenn Grant,Paradise,67,tbd,"Mar 10, 2017"
Bonny Doon,Bonny Doon,79,tbd,"Mar 10, 2017"
Girl Ray,Earl Grey,79,6.8,"Aug  4, 2017"
Dead Cross,Dead Cross,76,7.7,"Aug  4, 2017"
Briana Marela,Call It Love,70,tbd,"Aug  4, 2017"
Sleaford Mods,English Tapas,81,7.3,"Mar  3, 2017"
Blanck Mass,World Eater,81,8.0,"Mar  3, 2017"
Nadia Reid,Preservation,84,7.8,"Mar  3, 2017"
Grandaddy,Last Place,76,8.0,"Mar  3, 2017"
Temples,Volcano,72,7.9,"Mar  3, 2017"
Soccer Mommy,Collection,75,tbd,"Aug  4, 2017"
Nick Heyward,Woodland Echoes,83,9.0,"Aug  4, 2017"
Lal & Mike Waterson,Bright Phoebus [Reissue],90,tbd,"Aug  4, 2017"
Accept,The Rise of Chaos,79,8.3,"Aug  4, 2017"
Various Artists,"Manchester, North of England: A Story of Independent Music, Greater Manchester 1977-1993 [Box Set]",88,tbd,"Aug  4, 2017"
Tyler Childers,Purgatory,82,tbd,"Aug  4, 2017"
BadBadNotGood,Late Night Tales,85,tbd,"Jul 28, 2017"
The Fall,New Facts Emerge,71,6.5,"Jul 28, 2017"
Ibibio Sound Machine,Uyai,84,7.7,"Mar  3, 2017"
Why?,Moh Lhean,76,7.3,"Mar  3, 2017"
Holly Macve,Golden Eagle,77,tbd,"Mar  3, 2017"
Ed Sheeran,Divide,62,4.3,"Mar  3, 2017"
Minus the Bear,Voids,64,7.2,"Mar  3, 2017"
Lusine,Sensorimotor,73,7.0,"Mar  3, 2017"
Guy Clark,The Best of the Dualtone Years,79,tbd,"Mar  3, 2017"
Danko Jones,Wild Cat,74,tbd,"Mar  3, 2017"
Arcade Fire,Everything Now,66,6.2,"Jul 28, 2017"
Alice Cooper,Paranormal,72,7.7,"Jul 28, 2017"
Methyl Ethel,Everything Is Forgotten,56,6.7,"Mar  3, 2017"
Chicano Batman,Freedom Is Free,86,6.8,"Mar  3, 2017"
Talaboman,The  Night Land,81,tbd,"Mar  3, 2017"
Otis Taylor,Fantasizing About Being Black,88,6.5,"Mar  3, 2017"
Evan Caminiti,Toxic City Music,80,tbd,"Mar  3, 2017"
Sondre Lerche,Pleasure,84,tbd,"Mar  3, 2017"
Tim Kasher,No Resolution,76,tbd,"Mar  3, 2017"
Alasdair Roberts,Pangs,83,tbd,"Feb 24, 2017"
King Gizzard & the Lizard Wizard,Flying Microtonal Banana,72,8.0,"Feb 24, 2017"
Los Campesinos!,Sick Scenes,74,7.5,"Feb 24, 2017"
Pissed Jeans,Why Love Now,76,7.5,"Feb 24, 2017"
Crystal Fairy,Crystal Fairy,80,tbd,"Feb 24, 2017"
Six Organs of Admittance,Burning the Threshold,82,tbd,"Feb 24, 2017"
The Feelies,In Between,80,tbd,"Feb 24, 2017"
Clap Your Hands Say Yeah,The Tourist,68,7.2,"Feb 24, 2017"
Rhiannon Giddens,Freedom Highway,80,8.8,"Feb 24, 2017"
Xiu Xiu,Forget,78,8.0,"Feb 24, 2017"
Peter Silberman,Impermanence,78,7.5,"Feb 24, 2017"
Old 97's,Graveyard Whistling,79,8.0,"Feb 24, 2017"
Sherwood & Pinch,Man vs. Sofa,79,tbd,"Feb 24, 2017"
Acceptance,Colliding by Design,86,7.6,"Feb 24, 2017"
Immolation,Atonement,82,tbd,"Feb 24, 2017"
All Them Witches,Sleeping Through the War,81,tbd,"Feb 24, 2017"
Thundercat,Drunk,80,8.0,"Feb 24, 2017"
Power Trip,Nightmare Logic,86,7.6,"Feb 24, 2017"
Stormzy,Gang Signs & Prayer,82,7.5,"Feb 24, 2017"
Sun Kil Moon,Common as Light and Love Are Red Valleys of Blood,65,8.0,"Feb 24, 2017"
Little Big Town,The  Breaker,78,7.4,"Feb 24, 2017"
Scott H. Biram,The Bad Testament,77,tbd,"Feb 24, 2017"
Kingdom,Tears in the Club,73,tbd,"Feb 24, 2017"
Julie's Haircut,Invocation and Ritual Dance of My Demon Twin,69,tbd,"Feb 24, 2017"
Sarah Bethe Nelson,"Oh, Evolution",75,tbd,"Feb 24, 2017"
Entrance,Book of Changes,76,tbd,"Feb 24, 2017"
Vagabon,Infinite Worlds,84,7.9,"Feb 24, 2017"
Children of Alice,Children of Alice,76,tbd,"Feb 24, 2017"
Oddisee,The Iceberg,82,7.7,"Feb 24, 2017"
The Brian Jonestown Massacre,Don't Get Lost,76,7.3,"Feb 24, 2017"
Future,HNDRXX,78,6.8,"Feb 24, 2017"
Dams of the West,Youngish American,56,tbd,"Feb 24, 2017"
James Vincent McMorrow,We Move,77,7.6,"Sep  2, 2016"
A Day to Remember,Bad Vibrations,81,7.6,"Sep  2, 2016"
The Warlocks,Songs from the Pale Eclipse,61,tbd,"Sep  2, 2016"
The Frightnrs,Nothing More to Say,82,tbd,"Sep  2, 2016"
Scott and Charlene's Wedding,Mid Thirties Single Scene,74,tbd,"Sep  2, 2016"
Chatham County Line,Autumn,77,tbd,"Sep  2, 2016"
Warhaus,We Fucked a Flame Into Being,71,tbd,"Sep  2, 2016"
Cassius,Ibifornia,62,tbd,"Aug 26, 2016"
De La Soul,And the Anonymous Nobody,77,7.6,"Aug 26, 2016"
Morgan Delt,Phase Zero,76,tbd,"Aug 26, 2016"
Cass McCombs,Mangy Love,81,7.5,"Aug 26, 2016"
The Veils,Total Depravity,69,7.5,"Aug 26, 2016"
Britney Spears,Glory,71,8.6,"Aug 26, 2016"
Glass Animals,How to Be a Human Being,74,8.5,"Aug 26, 2016"
The Album Leaf,Between Waves,75,tbd,"Aug 26, 2016"
Banks & Steelz,Anything but Words,72,7.5,"Aug 26, 2016"
Butch Walker,Stay Gold,80,tbd,"Aug 26, 2016"
Motion Graphics,Motion Graphics,81,tbd,"Aug 26, 2016"
Katy Goodman & Greta Morgan,"Take It, It's Yours",72,tbd,"Aug 26, 2016"
Vince Staples,Prima Donna [EP],83,8.3,"Aug 26, 2016"
Young Thug,JEFFERY [Mixtape],82,8.0,"Aug 26, 2016"
Subrosa,For This We Fought the Battle of Ages,79,tbd,"Aug 26, 2016"
Mild High Club,Skiptracing,68,8.4,"Aug 26, 2016"
Ezra Furman,Big Fugitive Life [EP],72,tbd,"Aug 26, 2016"
Carly Rae Jepsen,E-MO-TION Side B [EP],80,8.8,"Aug 26, 2016"
Battle Trance,Blade of Love,77,tbd,"Aug 26, 2016"
TUNS,Tuns,76,tbd,"Aug 26, 2016"
Gringo Star,The  Sides and in Between,72,tbd,"Aug 26, 2016"
New Model Army,Winter,65,tbd,"Aug 26, 2016"
Vinyl Williams,Brunei,77,tbd,"Aug 26, 2016"
Frank Ocean,Blonde,87,8.6,"Aug 20, 2016"
Frank Ocean,Endless,74,8.4,"Aug 19, 2016"
Ed Harcourt,Furnaces,82,7.4,"Aug 19, 2016"
Factory Floor,25 25,74,tbd,"Aug 19, 2016"
Tobacco,Sweatbox Dynasty,67,7.0,"Aug 19, 2016"
Thalia Zedek,Eve,81,tbd,"Aug 19, 2016"
Lydia Loveless,Real,82,6.8,"Aug 19, 2016"
Ryley Walker,Golden Sings That Have Been Sung,80,tbd,"Aug 19, 2016"
Arc Iris,Moon Saloon,74,tbd,"Aug 19, 2016"
Exploded View,Exploded View,76,8.0,"Aug 19, 2016"
Sam Coomes,Bugger Me,72,tbd,"Aug 19, 2016"
Scott Walker,The Childhood of a Leader [OST],80,tbd,"Aug 19, 2016"
Slow Club,One Day All of This Won't Matter Any More,73,7.8,"Aug 19, 2016"
Lisa Hannigan,At Swim,80,8.6,"Aug 19, 2016"
Gonjasufi,Callus,66,tbd,"Aug 19, 2016"
John Paul White,Beulah,74,tbd,"Aug 19, 2016"
Scientists,A  Place Called Bad [Box Set],87,tbd,"Aug 19, 2016"
Alex Cameron,Jumping the Shark,76,8.6,"Aug 19, 2016"
Dolly Parton,Pure & Simple,67,6.9,"Aug 19, 2016"
Crystal Castles,Amnesty (I),67,7.2,"Aug 19, 2016"
Myrkur,Mausoleum [Live],85,tbd,"Aug 19, 2016"
Bayside,Vacancy,72,7.0,"Aug 19, 2016"
Roosevelt,Roosevelt,73,8.5,"Aug 19, 2016"
Benjamin Francis Leftwich,After the Rain,60,tbd,"Aug 19, 2016"
Cold Pumas,The  Hanging Valley,68,tbd,"Aug 19, 2016"
Black Foxxes,I'm Not Well,82,tbd,"Aug 19, 2016"
Thom Sonny Green,High Anxiety,57,tbd,"Aug 19, 2016"
Peter Broderick,Partners,79,tbd,"Aug 19, 2016"
The Minus 5,Of Monkees & Men,76,tbd,"Aug 19, 2016"
WWWINGS,Phoenixxx,79,tbd,"Aug 19, 2016"
DJ Earl,Open Your Eyes,81,tbd,"Aug 19, 2016"
Courtney Marie Andrews,Honest Life,82,tbd,"Aug 19, 2016"
David Brent,Life on the Road [Original Motion Picture Soundtrack],61,tbd,"Aug 19, 2016"
Pascal Pinon,Sundur,83,tbd,"Aug 19, 2016"
A Grave with No Name,Wooden Mask,70,tbd,"Aug 12, 2016"
Hockey Dad,Boronia,70,tbd,"Aug 12, 2016"
Palmistry,Pagan,66,tbd,"Aug 12, 2016"
Of Montreal,Innocence Reaches,68,7.2,"Aug 12, 2016"
Brendan Canning,Home Wrecking Years,69,tbd,"Aug 12, 2016"
Thee Oh Sees,A  Weird Exits,81,7.8,"Aug 12, 2016"
Katie Dey,Flood Network,77,tbd,"Aug 12, 2016"
The Pineapple Thief,Your Wilderness,65,7.3,"Aug 12, 2016"
Rae Sremmurd,SremmLife 2,75,7.0,"Aug 12, 2016"
Atmosphere,Fishing Blues,71,7.7,"Aug 12, 2016"
Young the Giant,Home of the Strange,76,8.2,"Aug 12, 2016"
The Moles,Tonight's Music,80,tbd,"Aug 12, 2016"
PartyNextDoor,PartyNextDoor 3,69,6.9,"Aug 12, 2016"
Blind Pilot,And Then Like Lions,71,7.4,"Aug 12, 2016"
Marconi Union,Ghost Stations,84,tbd,"Aug 12, 2016"
Cool Ghouls,Animal Races,75,tbd,"Aug 12, 2016"
Horseback,Dead Ringers,75,tbd,"Aug 12, 2016"
Kyle Dixon,"Stranger Things, Vol. 1 [Original Television Series Soundtrack]",83,8.4,"Aug 12, 2016"
The Dead C,Trouble,79,tbd,"Aug 12, 2016"
Trim,1-800 Dinosaur Presents Trim,75,tbd,"Aug 12, 2016"
The Pack A.D.,Positive Thinking,78,tbd,"Aug 12, 2016"
Nonkeen,Oddments of the Gamble,78,tbd,"Aug  5, 2016"
Dinosaur Jr.,Give a Glimpse of What Yer Not,80,7.8,"Aug  5, 2016"
Wild Beasts,Boy King,78,8.0,"Aug  5, 2016"
Hieroglyphic Being,The Disco's of Imhotep,80,tbd,"Aug  5, 2016"
65daysofstatic,No Man's Sky: Music for an Infinite Universe [Original Video Game Soundtrack],81,8.2,"Aug  5, 2016"
Russian Circles,Guidance,81,8.1,"Aug  5, 2016"
Blossoms,Blossoms,71,8.2,"Aug  5, 2016"
Wye Oak,Tween,78,7.8,"Aug  5, 2016"
Haley Bonar,Impossible Dream,77,7.0,"Aug  5, 2016"
Blues Pills,Lady in Gold,73,tbd,"Aug  5, 2016"
Nels Cline,Lovers,84,7.2,"Aug  5, 2016"
Lawrence Arabia,Absolute Truth,69,tbd,"Aug  5, 2016"
Rival Consoles,Night Melody,75,tbd,"Aug  5, 2016"
Arkells,Morning Report,69,tbd,"Aug  5, 2016"
Health&Beauty,No Scare,66,tbd,"Aug  5, 2016"
Rattle,Rattle,63,tbd,"Aug  5, 2016"
Delroy Edwards,Hangin' at the Beach,74,tbd,"Aug  5, 2016"
Boys Forever,Boys Forever,67,tbd,"Aug  5, 2016"
Field Mouse,Episodic,71,tbd,"Aug  5, 2016"
Elvis Presley,Way Down in the Jungle Room,73,4.4,"Aug  5, 2016"
DJ Snake,Encore,62,6.0,"Aug  5, 2016"
Giggs,Landlord,80,tbd,"Aug  5, 2016"
The Cadillac Three,Bury Me in My Boots,66,tbd,"Aug  5, 2016"
Jonah Tolchin,Thousand Mile Night,76,tbd,"Aug  5, 2016"
Various Artists,Running the Voodoo Down: Explorations in Psychrockfunksouljazz 1967-1980,87,tbd,"Aug  5, 2016"
Noname,Telefone [Mixtape],84,8.3,"Jul 31, 2016"
M. Geddes Gengras,Interior Architecture,81,tbd,"Jul 29, 2016"
nao,For All We Know,82,8.4,"Jul 29, 2016"
Owen,The King of Whys,79,tbd,"Jul 29, 2016"
Descendents,Hypercaffium Spazzinate,75,7.9,"Jul 29, 2016"
The Chris Robinson Brotherhood,"Anyway You Love, We Know How You Feel",65,tbd,"Jul 29, 2016"
Billy Talent,Afraid of Heights,72,8.0,"Jul 29, 2016"
Viola Beach,Viola Beach,74,7.6,"Jul 29, 2016"
D.M. Stith,Pigeonheart,70,tbd,"Jul 29, 2016"
Beaty Heart,Till the Tomb,73,tbd,"Jul 29, 2016"
Pylon,Pylon Live,84,tbd,"Jul 29, 2016"
Titus Andronicus,S+@dium Rock: Five Nights at the Opera [Live],65,tbd,"Jul 29, 2016"
Various Artists,Quiero Creedence,62,tbd,"Jul 29, 2016"
DJ Khaled,Major Key,67,7.1,"Jul 29, 2016"
Various Artists,I'm a Freak Baby: A Journey Through the British Heavy Psych & Hard Rock Underground Scene 1968-1972,78,tbd,"Jul 29, 2016"
Lori McKenna,The Bird & the Rifle,82,tbd,"Jul 29, 2016"
Thee Oh Sees,Live in San Francisco,84,tbd,"Jul 29, 2016"
Lou Rhodes,Theyesandeye,68,tbd,"Jul 22, 2016"
MSTRKRFT,Operator,55,tbd,"Jul 22, 2016"
Look Park,Look Park,72,tbd,"Jul 22, 2016"
Bear's Den,Red Earth & Pouring Rain,56,8.0,"Jul 22, 2016"
Faun Fables,Born of the Sun,63,tbd,"Jul 22, 2016"
Floating Points,Kuiper [EP],77,8.4,"Jul 22, 2016"
HONNE,Warm on a Cold Night,69,8.2,"Jul 22, 2016"
Elysia Crampton,Demon City,88,7.2,"Jul 22, 2016"
The Amazing,Ambulance,77,tbd,"Jul 22, 2016"
Rhyton,Redshift,78,tbd,"Jul 22, 2016"
Gap Dream,This Is Gap Dream,65,tbd,"Jul 22, 2016"
Periphery,Periphery III: Select Difficulty,70,7.3,"Jul 22, 2016"
Gucci Mane,Everybody Looking,72,7.8,"Jul 22, 2016"
Stephen Marley,"Revelation, Pt. 2: The Fruit of Life",77,tbd,"Jul 22, 2016"
Afro-Haitian Experimental Orchestra,Afro-Haitian Experimental Orchestra,74,tbd,"Jul 22, 2016"
Lil Durk,Lil Durk 2X,74,5.8,"Jul 22, 2016"
Dreezy,No Hard Feelings,73,7.8,"Jul 22, 2016"
Jeremih,Late Nights: Europe [Mixtape],78,6.8,"Jul 20, 2016"
Michael Kiwanuka,Love & Hate,86,8.4,"Jul 15, 2016"
Snoop Dogg,Coolaid,68,6.7,"Jul 15, 2016"
Jeff Beck,Loud Hailer,70,7.4,"Jul 15, 2016"
Steven Tyler,We're All Somebody from Somewhere,62,7.3,"Jul 15, 2016"
Good Charlotte,Youth Authority,66,6.4,"Jul 15, 2016"
Amanda Palmer,You Got Me Singing,72,tbd,"Jul 15, 2016"
Jherek Bischoff,Cistern,75,tbd,"Jul 15, 2016"
Clams Casino,32 Levels,76,7.2,"Jul 15, 2016"
Aaron Neville,Apache,77,tbd,"Jul 15, 2016"
Calypso Rose,Far from Home,75,tbd,"Jul 15, 2016"
Flowdan,Disaster Piece,75,tbd,"Jul 15, 2016"
Heliotropes,Over There That Way,67,tbd,"Jul 15, 2016"
Bright Light Bright Light,Choreography,74,tbd,"Jul 15, 2016"
Johnny Foreigner,Mono No Aware,83,tbd,"Jul  8, 2016"
The Julie Ruin,Hit Reset,78,8.3,"Jul  8, 2016"
The Avalanches,Wildflower,83,8.4,"Jul  8, 2016"
Shura,Nothing's Real,79,8.6,"Jul  8, 2016"
Roisin Murphy,Take Her Up to Monto,77,8.2,"Jul  8, 2016"
BadBadNotGood,IV,77,8.4,"Jul  8, 2016"
Ian William Craig,Centres,86,7.5,"Jul  8, 2016"
Aphex Twin,Cheetah [EP],74,7.8,"Jul  8, 2016"
Biffy Clyro,Ellipsis,73,6.8,"Jul  8, 2016"
Big Business,Command Your Weather,74,tbd,"Jul  8, 2016"
Cassy,Donna,69,tbd,"Jul  8, 2016"
Eric Copeland,Black Bubblegum,73,tbd,"Jul  8, 2016"
ScHoolboy Q,Blank Face LP,81,8.4,"Jul  8, 2016"
Omni,Deluxe,78,tbd,"Jul  8, 2016"
Jackmaster,DJ-Kicks,78,tbd,"Jul  8, 2016"
TTNG,Disappointment Island,72,8.5,"Jul  8, 2016"
Inter Arma,Paradise Gallows,82,tbd,"Jul  8, 2016"
Sarathy Korwar,Day to Day,84,tbd,"Jul  8, 2016"
Evans the Death,Vanilla,79,tbd,"Jul  8, 2016"
Gone Is Gone,Gone Is Gone [EP],70,8.0,"Jul  8, 2016"
Heart,Beautiful Broken,72,tbd,"Jul  8, 2016"
Moon Bros,These Stars,75,tbd,"Jul  8, 2016"
75 Dollar Bill,Wood/Metal/Plastic/Pattern/Rhy...,90,tbd,"Jul  8, 2016"
AraabMuzik,Dream World,67,5.8,"Jul  5, 2016"
Bat for Lashes,The Bride,78,7.5,"Jul  1, 2016"
Blink-182,California,63,7.6,"Jul  1, 2016"
Martha,Blisters in the Pit of My Heart,79,tbd,"Jul  1, 2016"
Metronomy,Summer 08,74,7.6,"Jul  1, 2016"
Maxwell,blackSUMMERS'night (2016),86,8.2,"Jul  1, 2016"
Beyond the Wizards Sleeve,The Soft Bounce,77,tbd,"Jul  1, 2016"
Sara Watkins,Young in All the Wrong Ways,79,tbd,"Jul  1, 2016"
Blood Orange,Freetown Sound,82,8.5,"Jun 28, 2016"
Desiigner,New English [Mixtape],60,3.6,"Jun 26, 2016"
Marisa Anderson,Into The Light,81,tbd,"Jun 24, 2016"
Deerhoof,The Magic,79,7.9,"Jun 24, 2016"
Raime,Tooth,78,tbd,"Jun 24, 2016"
Neil Young,Earth,65,8.2,"Jun 24, 2016"
Summer Moon,With You Tonight,58,tbd,"Feb 24, 2017"
NAV,NAV,45,4.2,"Feb 24, 2017"
Great Ytene,Locus,71,tbd,"Feb 24, 2017"
NE-HI,Offers,73,tbd,"Feb 24, 2017"
Wesley Stace,Wesley Stace's John Wesley Harding,74,tbd,"Feb 24, 2017"
Dirty Projectors,Dirty Projectors,77,7.8,"Feb 21, 2017"
Roc Marciano,Rosebudd's Revenge,83,8.0,"Feb 21, 2017"
Nikki Lane,Highway Queen,78,8.1,"Feb 17, 2017"
Vant,Dumb Blood,69,6.9,"Feb 17, 2017"
Lawrence English,Cruel Optimism,82,tbd,"Feb 17, 2017"
Ryan Adams,Prisoner,79,8.0,"Feb 17, 2017"
Dutch Uncles,Big Balloon,77,7.0,"Feb 17, 2017"
Jens Lekman,Life Will See You Now,83,7.8,"Feb 17, 2017"
PVT,New Spirit,75,tbd,"Feb 17, 2017"
Aquilo,Silhouette,70,8.0,"Feb 17, 2017"
Strand of Oaks,Hard Love,69,7.7,"Feb 17, 2017"
Son Volt,Notes of Blue,77,6.9,"Feb 17, 2017"
Tim Darcy,Saturday Night,72,7.3,"Feb 17, 2017"
The Orwells,Terrible Human Beings,68,7.9,"Feb 17, 2017"
Moire,No Future,80,tbd,"Feb 17, 2017"
Mind Over Mirrors,Undying Color,73,tbd,"Feb 17, 2017"
Meat Wave,The Incessant,80,tbd,"Feb 17, 2017"
Molly Burch,Please Be Mine,75,7.2,"Feb 17, 2017"
Bing & Ruth,No Home of the Mind,81,tbd,"Feb 17, 2017"
Hanni El Khatib,Savage Times,77,tbd,"Feb 17, 2017"
Frontier Ruckus,Enter the Kingdom,68,tbd,"Feb 17, 2017"
Future,Future,67,6.1,"Feb 17, 2017"
Jidenna,The  Chief,73,7.5,"Feb 17, 2017"
Mozart's Sister,Field of Love,70,tbd,"Feb 17, 2017"
The Courtneys,The Courtneys II,75,8.0,"Feb 17, 2017"
Earthen Sea,An Act of Love,79,tbd,"Feb 17, 2017"
London O'Connor,Circle/Triangle,83,tbd,"Feb 17, 2017"
Alison Krauss,Windy City,69,tbd,"Feb 17, 2017"
Grails,Chalice Hymnal,78,tbd,"Feb 17, 2017"
Fat Joe,Plata o Plomo,66,6.4,"Feb 17, 2017"
Deep Throat Choir,Be OK,77,tbd,"Feb 17, 2017"
