artist,album,metascore,userscore,release_date
Young Thug,I'm Up [Mixtape],76,6.8,"Feb  5, 2016"
Mass Gothic,Mass Gothic,67,tbd,"Feb  5, 2016"
Anna von Hausswolff,The Miraculous,82,8.3,"Nov 13, 2015"
Bleachers,Gone Now,71,8.0,"Jun  2, 2017"
Benjamin Booker,Witness,79,6.6,"Jun  2, 2017"
Amber Coffman,City of No Reply,78,7.5,"Jun  2, 2017"
TOPS,Sugar at the Gate,70,7.0,"Jun  2, 2017"
Hey Colossus,The Guillotine,79,tbd,"Jun  2, 2017"
H. Hawkline,I Romanticize,84,tbd,"Jun  2, 2017"
U2,The Joshua Tree [30th Anniversary Super Deluxe Edition],90,8.8,"Jun  2, 2017"
Halsey,Hopeless Fountain Kingdom,66,8.0,"Jun  2, 2017"
Omar Souleyman,To Syria with Love,70,tbd,"Jun  2, 2017"
Arve Henriksen,Towards Language,82,tbd,"Jun  2, 2017"
Peaking Lights,The Fifth State of Consciousness,75,tbd,"Jun  2, 2017"
All Time Low,Last Young Renegade,82,7.4,"Jun  2, 2017"
'68,Two Parts Viper,92,tbd,"Jun  2, 2017"
Flogging Molly,Life is Good,61,tbd,"Jun  2, 2017"
North Mississippi Allstars,Prayer for Peace,80,tbd,"Jun  2, 2017"
Dauwd,Theory of Colours,85,tbd,"Jun  2, 2017"
Binker & Moses,Journey to the Mountain of Forever,80,tbd,"Jun  2, 2017"
Justin Townes Earle,Kids In The Street,78,tbd,"May 26, 2017"
The Charlatans UK,Different Days,74,7.2,"May 26, 2017"
Sam Amidon,The Following Mountain,73,tbd,"May 26, 2017"
The Unthanks,Diversions Vol. 4: The Songs and Poems of Molly Drake,81,tbd,"May 26, 2017"
The Amazons,The Amazons,64,7.3,"May 26, 2017"
The Heliocentrics,A  World of Masks,79,7.7,"May 26, 2017"
Crescent,Resin Pockets,79,tbd,"May 26, 2017"
The Beatles,Sgt. Pepper's Lonely Hearts Club Band [50th Anniversary Edition Deluxe Version],100,8.3,"May 26, 2017"
Danzig,Black Laden Crown,61,2.5,"May 26, 2017"
Leftfield,Leftism 22 [Reissue],89,6.2,"May 26, 2017"
Lil Yachty,Teenage Emotions,63,4.0,"May 26, 2017"
Gucci Mane,DropTopWop [Mixtape],72,7.7,"May 26, 2017"
Bryson Tiller,True to Self,63,5.7,"May 26, 2017"
Coldcut,Outside the Echo Chamber,81,tbd,"May 26, 2017"
Jaco Pastorius,"Truth, Liberty & Soul: Live in NYC: The Complete 1982 NPR Jazz Alive! Recording",85,tbd,"May 26, 2017"
Bill Frisell,Small Town [Live],79,tbd,"May 26, 2017"
Erasure,World Be Gone,69,6.3,"May 19, 2017"
Tigers Jaw,Spin,69,tbd,"May 19, 2017"
Various Artists,Singles [Original Motion Picture Soundtrack] [Deluxe Edition],93,7.6,"May 19, 2017"
Jane Weaver,Modern Kosmology,84,7.4,"May 19, 2017"
The Mountain Goats,Goths,83,7.7,"May 19, 2017"
Wavves,You're Welcome,71,7.0,"May 19, 2017"
Pokey LaFarge,Manic Revelations,80,tbd,"May 19, 2017"
Land of Talk,Life After Youth,79,7.8,"May 19, 2017"
(Sandy) Alex G,Rocket,82,8.1,"May 19, 2017"
Linkin Park,One More Light,46,5.0,"May 19, 2017"
Do Make Say Think,Stubborn Persistent Illusions,83,7.6,"May 19, 2017"
Nick Hakim,Green Twins,81,7.8,"May 19, 2017"
Jlin,Black Origami,89,7.2,"May 19, 2017"
Aldous Harding,Party,83,7.8,"May 19, 2017"
Low Cut Connie,"Dirty Pictures, Pt. 1",79,tbd,"May 19, 2017"
!!! [Chik Chik Chik],Shake the Shudder,65,7.0,"May 19, 2017"
Pumarosa,The Witch,84,7.4,"May 19, 2017"
Faith Evans and the Notorious B.I.G.,The King & I,48,6.7,"May 19, 2017"
Little Steven,Soulfire,74,tbd,"May 19, 2017"
She-Devils,She-Devils,71,tbd,"May 19, 2017"
Stevie Parker,The Cure,71,tbd,"May 19, 2017"
White Hills,Stop Mute Defeat,80,tbd,"May 19, 2017"
The Como Mamas,Move Upstairs,81,tbd,"May 19, 2017"
King Ayisoba,1000 Can Die,80,tbd,"May 19, 2017"
Los Straitjackets,What's So Funny About Peace Love and Los Straitjackets,79,tbd,"May 19, 2017"
BMX Bandits,BMX Bandits Forever,79,tbd,"May 19, 2017"
Emily Barker,Sweet Kind of Blue,81,tbd,"May 19, 2017"
Man Forever,Play What They Want,81,tbd,"May 19, 2017"
Radiophonic Workshop,Burials in Several Earths,72,tbd,"May 19, 2017"
Demen,Nektyr,83,tbd,"May 19, 2017"
Daniel Romano,Modern Pressure,70,tbd,"May 19, 2017"
Oumou Sangare,Mogoya,86,tbd,"May 19, 2017"
DragonForce,Reaching Into Infinity,76,tbd,"May 19, 2017"
Snoop Dogg,Neva Left,71,7.5,"May 19, 2017"
Luke Vibert,"Luke Vibert Presents UK Garave, Vol. 1",67,tbd,"May 19, 2017"
Paul Weller,A Kind Revolution,86,7.5,"May 12, 2017"
Girlpool,Powerplant,80,7.4,"May 12, 2017"
Jim Jones & The Righteous Mind,Super Natural,84,tbd,"May 12, 2017"
Pwr Bttm,Pageant,85,5.5,"May 12, 2017"
Will Stratton,Rosewood Almanac,74,tbd,"May 12, 2017"
Diagrams,Dorothy,78,tbd,"May 12, 2017"
L.A. Takedown,II,69,tbd,"May 12, 2017"
Todd Rundgren,White Knight,66,tbd,"May 12, 2017"
Don Bryant,Don't Give Up on Love,83,tbd,"May 12, 2017"
Harry Styles,Harry Styles,68,7.3,"May 12, 2017"
Zac Brown Band,Welcome Home,58,4.3,"May 12, 2017"
Paramore,After Laughter,82,8.2,"May 12, 2017"
DREAMCAR,DREAMCAR,71,tbd,"May 12, 2017"
J Hus,Common Sense,84,7.1,"May 12, 2017"
Original Soundtrack,The Bob's Burgers Music Album [Original Television Soundtrack],77,tbd,"May 12, 2017"
Dion,Kickin Child: Lost Columbia Album 1965,94,tbd,"May 12, 2017"
Various Artists,"Sing It High, Sing It Low: Tumbleweed Records 1971-1973",77,tbd,"May 12, 2017"
Colter Wall,Colter Wall,77,tbd,"May 12, 2017"
Machine Gun Kelly,Bloom,72,6.0,"May 12, 2017"
Blondie,Pollinator,71,8.1,"May  5, 2017"
Pond,The Weather,80,7.7,"May  5, 2017"
Black Lips,Satan's Graffiti or God's Art?,71,8.0,"May  5, 2017"
The Afghan Whigs,In Spades,79,6.9,"May  5, 2017"
Slowdive,Slowdive,82,8.1,"May  5, 2017"
Perfume Genius,No Shape,84,8.4,"May  5, 2017"
Mac DeMarco,This Old Dog,79,8.0,"May  5, 2017"
Moon Duo,"Occult Architecture, Vol. 2",71,6.8,"May  5, 2017"
"Bonnie ""Prince"" Billy",Best Troubador,78,tbd,"May  5, 2017"
Joan Shelley,Joan Shelley,82,7.3,"May  5, 2017"
Kasabian,For Crying Out Loud,70,7.2,"May  5, 2017"
Fazerdaze,Morningside,74,7.7,"May  5, 2017"
Chris Stapleton,"From a Room, Vol. 1",81,6.9,"May  5, 2017"
Amanda Palmer,I Can Spin a Rainbow,60,6.3,"May  5, 2017"
John Moreland,Big Bad Luv,84,tbd,"May  5, 2017"
Forest Swords,Compassion,79,7.8,"May  5, 2017"
Juana Molina,Halo,84,7.6,"May  5, 2017"
Motionless in White,Graveyard Shift,82,3.7,"May  5, 2017"
Carl Craig,Versus,78,tbd,"May  5, 2017"
Diana Krall,Turn Up the Quiet,71,tbd,"May  5, 2017"
Nick Cave & the Bad Seeds,"Lovely Creatures: The Best of Nick Cave and the Bad Seeds, 1984-2014 [Box Set]",95,8.2,"May  5, 2017"
Alice Coltrane,World Spirituality Classics 1: The Ecstatic Music of Alice Coltrane Turiyasangitananda,84,6.5,"May  5, 2017"
Nite Jewel,Real High,79,tbd,"May  5, 2017"
Penguin Cafe,The Imperfect Sea,76,tbd,"May  5, 2017"
Oxbow,The Thin Black Duke,87,7.8,"May  5, 2017"
Hoops,Routines,77,tbd,"May  5, 2017"
Logic,Everybody,65,6.5,"May  5, 2017"
Brother Ali,All the Beauty in This Whole Life,80,7.3,"May  5, 2017"
Nightlands,I Can Feel the Night Around Me,76,tbd,"May  5, 2017"
Ho99o9,United States of Horror,78,7.9,"May  5, 2017"
Wooden Wand,Clipper Ship,76,tbd,"May  5, 2017"
Big Walnuts Yonder,Big Walnuts Yonder,72,tbd,"May  5, 2017"
Faust,Fresh Air,76,tbd,"May  5, 2017"
Ian William Craig,Slow Vessels,72,tbd,"May  5, 2017"
Taj Mahal,TajMo,63,tbd,"May  5, 2017"
Bill MacKay,Esker,77,tbd,"May  5, 2017"
Jessica Moss,Pools of Light,78,tbd,"May  5, 2017"
Mark Lanegan Band,Gargoyle,83,7.4,"Apr 28, 2017"
Sufjan Stevens,Carrie & Lowell Live,91,tbd,"Apr 28, 2017"
Bill Baird,Easy Machines,84,tbd,"Apr 28, 2017"
L. Pierre,1948-,56,tbd,"Apr 28, 2017"
Bill Baird,Baby Blue Abyss,68,tbd,"Apr 28, 2017"
BNQT,Volume 1,76,7.1,"Apr 28, 2017"
Sylvan Esso,What Now,75,7.5,"Apr 28, 2017"
Feist,Pleasure,80,8.0,"Apr 28, 2017"
Gorillaz,Humanz,77,7.0,"Apr 28, 2017"
Thurston Moore,Rock N Roll Consciousness,78,7.7,"Apr 28, 2017"
Mark Mulcahy,The Possum in the Driveway,75,tbd,"Apr 28, 2017"
Ryuichi Sakamoto,async,85,7.7,"Apr 28, 2017"
Mew,Visuals,74,7.2,"Apr 28, 2017"
Colin Stetson,All This I Do for Glory,80,7.8,"Apr 28, 2017"
John Mellencamp,Sad Clowns & Hillbillies,77,tbd,"Apr 28, 2017"
Willie Nelson,God's Problem Child,79,8.3,"Apr 28, 2017"
Little Cub,Still Life,77,tbd,"Apr 28, 2017"
Mary J. Blige,Strength of a Woman,74,8.0,"Apr 28, 2017"
The New Year,Snow,79,7.3,"Apr 28, 2017"
Wilsen,I Go Missing in My Sleep,72,tbd,"Apr 28, 2017"
New Found Glory,Makes Me Sick,67,8.1,"Apr 28, 2017"
Pinegrove,Everything So Far,74,tbd,"Apr 28, 2017"
Juliana Hatfield,Pussycat,84,7.0,"Apr 28, 2017"
Terror,The Walls Will Fall [EP],81,tbd,"Apr 28, 2017"
WALL,Untitled,78,tbd,"Apr 28, 2017"
Wale,Shine,65,4.4,"Apr 28, 2017"
Los Angeles Police Department,Los Angeles Police Department,80,tbd,"Apr 28, 2017"
Trombone Shorty,Parking Lot Symphony,70,tbd,"Apr 28, 2017"
Robert Cray,Robert Cray & Hi Rhythm,84,tbd,"Apr 28, 2017"
Sheryl Crow,Be Myself,69,7.6,"Apr 21, 2017"
Gas,Narkopop,86,7.5,"Apr 21, 2017"
Robyn Hitchcock,Robyn Hitchcock,80,7.0,"Apr 21, 2017"
Imelda May,Life. Love. Flesh. Blood,73,tbd,"Apr 21, 2017"
Ray Davies,Americana,80,6.6,"Apr 21, 2017"
Angaleena Presley,Wrangled,83,6.5,"Apr 21, 2017"
Joe Goddard,Electric Lines,71,8.0,"Apr 21, 2017"
The Black Angels,Death Song,75,8.0,"Apr 21, 2017"
The Raveonettes,2016 Atomized,79,tbd,"Apr 21, 2017"
Tara Jane O'Neil,Tara Jane O'Neil,82,tbd,"Apr 21, 2017"
Ron Sexsmith,The Last Rider,79,tbd,"Apr 21, 2017"
Woods,Love Is Love,72,tbd,"Apr 21, 2017"
Incubus,8,45,6.7,"Apr 21, 2017"
While She Sleeps,You Are We,84,7.6,"Apr 21, 2017"
Charly Bliss,Guppy,87,7.8,"Apr 21, 2017"
Procol Harum,Novum,69,tbd,"Apr 21, 2017"
Mr. Mitch,Devout,74,tbd,"Apr 21, 2017"
Have Mercy,Make the Best of It,72,tbd,"Apr 21, 2017"
Texas,Jump on Board,52,tbd,"Apr 21, 2017"
Brad Paisley,Love and War,66,tbd,"Apr 21, 2017"
Charlie Watts,Charlie Watts Meets the Danish Radio Big Band [Live],77,tbd,"Apr 21, 2017"
Edgar Jones,The Song of Day and Night,77,tbd,"Apr 21, 2017"
Arto Lindsay,Cuidado Madame,77,tbd,"Apr 21, 2017"
Little Dragon,Season High,67,7.2,"Apr 14, 2017"
Actress,AZD,81,7.0,"Apr 14, 2017"
Part Chimp,IV,81,tbd,"Apr 14, 2017"
Sam Outlaw,Tenderheart,65,tbd,"Apr 14, 2017"
Fionn Regan,The Meetings of the Waters,78,tbd,"Apr 14, 2017"
Kendrick Lamar,DAMN.,95,8.4,"Apr 14, 2017"
John Mayer,The Search for Everything,61,7.7,"Apr 14, 2017"
Tinie Tempah,YOUTH,70,6.9,"Apr 14, 2017"
Splashh,Waiting a Lifetime,74,tbd,"Apr 14, 2017"
Playboi Carti,Playboi Carti [Mixtape],69,6.9,"Apr 14, 2017"
Lillie Mae,Forever and Then Some,80,tbd,"Apr 14, 2017"
Blaenavon,That's Your Lot,80,tbd,"Apr  7, 2017"
Vanbot,Siberia,67,tbd,"Apr  7, 2017"
Jeb Loy Nichols,Country Hustle,81,tbd,"Apr  7, 2017"
Future Islands,The  Far Field,77,7.5,"Apr  7, 2017"
Wire,Silver/Lead,77,tbd,"Apr  7, 2017"
Graeme Miller,The Moomins [OST],80,tbd,"Apr  7, 2017"
Father John Misty,Pure Comedy,85,7.8,"Apr  7, 2017"
The New Pornographers,Whiteout Conditions,78,7.8,"Apr  7, 2017"
Manchester Orchestra,A Black Mile to the Surface,79,8.1,"Jul 28, 2017"
Arthur Alexander,Arthur Alexander [Reissue],80,tbd,"Jul 28, 2017"
The Isley Brothers,Power of Peace,66,tbd,"Jul 28, 2017"
Katie von Schleicher,Shitty Hits,77,tbd,"Jul 28, 2017"
Vic Mensa,The Autobiography,71,7.4,"Jul 28, 2017"
Golden Retriever,Rotations,82,tbd,"Jul 28, 2017"
Fairport Convention,Come All Ye: The First Ten Years [Box Set],88,tbd,"Jul 28, 2017"
Juanita Stein,America,64,tbd,"Jul 28, 2017"
Elvis Presley,A Boy From Tupelo: The Complete 1953-1955 Recordings [Box Set],95,6.8,"Jul 28, 2017"
Sivu,Sweet Sweet Silent,63,tbd,"Jul 28, 2017"
Laucan,FramesPerSecond,64,tbd,"Jul 28, 2017"
Toddla T,Foreign Light,60,tbd,"Jul 28, 2017"
Ben Gibbard,Bandwagonesque,79,tbd,"Jul 28, 2017"
Cage the Elephant,Unpeeled [Live],72,tbd,"Jul 28, 2017"
Various Artists,Noise Reduction System: Formative European Electronica 1974-1984 [Box Set],79,tbd,"Jul 28, 2017"
Pan Daijing,Lack,79,tbd,"Jul 28, 2017"
Ben Frost,Threshold of Faith [EP],79,tbd,"Jul 27, 2017"
Damian Marley,Stony Hill,72,7.2,"Jul 21, 2017"
Nine Inch Nails,Add Violence [EP],77,7.4,"Jul 21, 2017"
Christopher Merrick Hughes,Eirenic Life,74,tbd,"Jul 21, 2017"
Mr. Jukes,God First,72,tbd,"Jul 21, 2017"
Pete Fij,We Are Millionaires,76,tbd,"Jul 21, 2017"
Nicole Atkins,Goodnight Rhonda Lee,83,7.9,"Jul 21, 2017"
Childhood,Universal High,74,tbd,"Jul 21, 2017"
Daphni,Fabriclive 93,80,tbd,"Jul 21, 2017"
Foster the People,Sacred Hearts Club,56,7.9,"Jul 21, 2017"
Avey Tare,Eucalyptus,68,7.7,"Jul 21, 2017"
Cornelius,Mellow Waves,74,7.6,"Jul 21, 2017"
Declan McKenna,What Do You Think About the Car?,76,8.2,"Jul 21, 2017"
The Chris Robinson Brotherhood,Barefoot in the Head,85,7.2,"Jul 21, 2017"
Lana Del Rey,Lust for Life,77,7.8,"Jul 21, 2017"
Dizzee Rascal,Raskit,78,6.9,"Jul 21, 2017"
Goldfinger,The Knife,82,tbd,"Jul 21, 2017"
John Murry,A Short History of Decay,77,tbd,"Jul 21, 2017"
"Tyler, The Creator",Flower Boy,84,8.7,"Jul 21, 2017"
Paul Heaton,Crooked Calypso,76,tbd,"Jul 21, 2017"
Dan Croll,Emerging Adulthood,57,tbd,"Jul 21, 2017"
Karen Gwyer,Rembo,81,tbd,"Jul 21, 2017"
Meek Mill,Wins and Losses,72,6.3,"Jul 21, 2017"
Laibach,Also Sprach Zarathustra,80,tbd,"Jul 14, 2017"
Shabazz Palaces,Quazarz vs. The Jealous Machines,77,7.2,"Jul 14, 2017"
Waxahatchee,Out in the Storm,80,7.9,"Jul 14, 2017"
Shabazz Palaces,Quazarz: Born on a Gangster Star,77,7.5,"Jul 14, 2017"
Sheer Mag,Need to Feel Your Love,83,7.9,"Jul 14, 2017"
Lucy Rose,Something's Changing,68,tbd,"Jul 14, 2017"
Mura Masa,Mura Masa,78,7.6,"Jul 14, 2017"
Offa Rex,The Queen of Hearts,81,tbd,"Jul 14, 2017"
Japanese Breakfast,Soft Sounds From Another Planet,83,8.0,"Jul 14, 2017"
Boris,Dear,77,tbd,"Jul 14, 2017"
Oh Wonder,Ultralife,61,7.6,"Jul 14, 2017"
Lo Tom,Lo Tom,71,tbd,"Jul 14, 2017"
The Dears,"Times Infinity, Vol. 2",62,tbd,"Jul 14, 2017"
Integrity,"Howling, For the Nightmare Shall Consume",82,tbd,"Jul 14, 2017"
Silverstein,Dead Reflection,57,7.4,"Jul 14, 2017"
French Montana,Jungle Rules,68,6.5,"Jul 14, 2017"
Coldplay,Kaleidoscope EP,63,6.9,"Jul 14, 2017"
Art Feynman,Blast Off Through the Wicker,70,tbd,"Jul 14, 2017"
The Pollyseeds,"The Sounds of Crenshaw, Vol. 1",81,tbd,"Jul 14, 2017"
Quindar,Hip Mobility,76,tbd,"Jul 14, 2017"
Alan Vega,It,84,tbd,"Jul 14, 2017"
Mike Cooper,Raft,74,tbd,"Jul 14, 2017"
Breakfast Muff,Eurgh!,66,tbd,"Jul 14, 2017"
Dasher,Sodium,75,tbd,"Jul 14, 2017"
Claude Speeed,Infinity Ultra,72,tbd,"Jul 14, 2017"
TERRY,Remember Terry,74,tbd,"Jul 14, 2017"
Toro y Moi,Boo Boo,73,7.8,"Jul  7, 2017"
21 Savage,Issa Album,70,5.4,"Jul  7, 2017"
Melvins,A Walk With Love and Death,69,6.6,"Jul  7, 2017"
Broken Social Scene,Hug of Thunder,76,8.1,"Jul  7, 2017"
HAIM,Something To Tell You,69,7.6,"Jul  7, 2017"
Public Service Broadcasting,Every Valley,77,7.6,"Jul  7, 2017"
This Is the Kit,Moonshine Freeze,78,tbd,"Jul  7, 2017"
The Telescopes,As Light Return,66,tbd,"Jul  7, 2017"
Jupiter & Okwess,Kin Sonic,84,tbd,"Jul  7, 2017"
John Smith,Headlong,69,tbd,"Jul  7, 2017"
Black Grape,Pop Voodoo,70,tbd,"Jul  7, 2017"
Various Artists,Silhouettes and Statues: A Gothic Revolution 1978-1986 [Box Set],80,tbd,"Jul  7, 2017"
Chronixx,Chronology,83,tbd,"Jul  7, 2017"
Jah Wobble's Invaders of the Heart,The Usual Suspects,80,tbd,"Jul  7, 2017"
The Last Dinosaur,The Nothing,84,tbd,"Jul  7, 2017"
Whitehorse,Panther in the Dollhouse,78,tbd,"Jul  7, 2017"
Various Artists,C88 [Box Set],84,tbd,"Jul  7, 2017"
The Acacia Strain,Gravebloom,62,tbd,"Jun 30, 2017"
Public Enemy,Nothing Is Quick In The Desert,71,7.7,"Jun 30, 2017"
Stone Sour,Hydrograd,73,7.5,"Jun 30, 2017"
Peter Perrett,How the West Was Won,81,tbd,"Jun 30, 2017"
Washed Out,Mister Mellow,70,7.4,"Jun 30, 2017"
James Elkington,Wintres Woma,79,tbd,"Jun 30, 2017"
Jay-Z,4:44,82,7.1,"Jun 30, 2017"
Floating Points,Reflections: Mojave Desert,76,7.3,"Jun 30, 2017"
TLC,TLC,63,5.8,"Jun 30, 2017"
Beach House,B-Sides and Rarities,75,7.9,"Jun 30, 2017"
Lapalux,Ruinism,80,7.7,"Jun 30, 2017"
Ratboys,GN,77,tbd,"Jun 30, 2017"
LANY,LANY,66,7.1,"Jun 30, 2017"
Moon Diagrams,Lifetime of Love,67,tbd,"Jun 30, 2017"
Baio,Man of the World,69,tbd,"Jun 30, 2017"
Calvin Harris,"Funk Wav Bounces, Vol. 1",70,7.5,"Jun 30, 2017"
Bill Orcutt,Bill Orcutt,80,tbd,"Jun 30, 2017"
The Beach Boys,1967: Sunshine Tomorrow,80,tbd,"Jun 30, 2017"
Karl Hyde,Fatherland (Original Music from the Stage Show),84,tbd,"Jun 30, 2017"
Jeff Tweedy,Together At Last,74,6.4,"Jun 23, 2017"
Algiers,The Underside of Power,86,7.9,"Jun 23, 2017"
King Gizzard & the Lizard Wizard,Murder of the Universe,73,7.6,"Jun 23, 2017"
Denai Moore,We Used to Bloom,84,tbd,"Jun 23, 2017"
Vince Staples,Big Fish Theory,89,8.2,"Jun 23, 2017"
Imagine Dragons,Evolve,47,6.9,"Jun 23, 2017"
Laurel Halo,Dust,84,7.6,"Jun 23, 2017"
Radiohead,OK Computer: OKNOTOK 1997-2017,100,8.8,"Jun 23, 2017"
Rozwell Kid,Precious Art,80,7.1,"Jun 23, 2017"
Banditos,Visionland,71,tbd,"Jun 23, 2017"
Bedouine,Bedouine,85,7.5,"Jun 23, 2017"
DJ Khaled,Grateful,61,3.8,"Jun 23, 2017"
EX EYE,EX EYE,83,tbd,"Jun 23, 2017"
Prince and the Revolution,Purple Rain [Deluxe Expanded Edition],100,7.6,"Jun 23, 2017"
Jean-Jacques Perrey,Jean-Jacques Perrey et Son Ondioline,69,tbd,"Jun 23, 2017"
Willie Nile,Positively Bob: Willie Nile Sings Bob Dylan,77,tbd,"Jun 23, 2017"
Gaby Hernandez,Spirit Reflection,76,tbd,"Jun 23, 2017"
Various Artists,Behind the Counter with Max Richter,85,tbd,"Jun 23, 2017"
Circle,Terminal,87,tbd,"Jun 23, 2017"
Color Film,Living Arrangements,66,tbd,"Jun 16, 2017"
Portugal. The Man,Woodstock,70,7.4,"Jun 16, 2017"
Fleet Foxes,Crack-Up,81,8.2,"Jun 16, 2017"
Beth Ditto,Fake Sugar,74,8.7,"Jun 16, 2017"
Kevin Morby,City Music,80,7.3,"Jun 16, 2017"
Royal Trux,Platinum Tips & Ice-Cream [Live],69,tbd,"Jun 16, 2017"
Ride,Weather Diaries,73,7.5,"Jun 16, 2017"
Michael Nau,Some Twist,71,tbd,"Jun 16, 2017"
Goldie,The Journey Man,65,tbd,"Jun 16, 2017"
Songhoy Blues,Resistance,84,7.0,"Jun 16, 2017"
Jason Isbell And The 400 Unit,The Nashville Sound,82,7.5,"Jun 16, 2017"
Royal Blood,How Did We Get So Dark?,71,7.5,"Jun 16, 2017"
Steve Earle & the Dukes,So You Wannabe an Outlaw,75,tbd,"Jun 16, 2017"
Com Truise,Iteration,72,7.8,"Jun 16, 2017"
Lorde,Melodrama,91,8.6,"Jun 16, 2017"
The Drums,Abysmal Thoughts,77,7.1,"Jun 16, 2017"
Matthew Sweet,Tomorrow Forever,77,7.5,"Jun 16, 2017"
Big Boi,BOOMIVERSE,70,7.2,"Jun 16, 2017"
Alison Moyet,Other,80,7.2,"Jun 16, 2017"
Cheap Trick,We're All Alright!,69,7.2,"Jun 16, 2017"
Life,Popular Music,74,tbd,"Jun 16, 2017"
Jefre Cantu-Ledesma,On the Echoing Green,79,tbd,"Jun 16, 2017"
Trevor Sensor,Andy Warhol's Dream,78,tbd,"Jun 16, 2017"
House and Land,House and Land,83,tbd,"Jun 16, 2017"
Can,The Singles,78,tbd,"Jun 16, 2017"
Umfang,Symbolic Use of Light,83,tbd,"Jun 16, 2017"
Justin Adams,Ribbons,74,tbd,"Jun 16, 2017"
2 Chainz,Pretty Girls Like Trap Music,82,7.3,"Jun 16, 2017"
Young Thug,Beautiful Thugger Girls,84,7.5,"Jun 16, 2017"
Palehound,A  Place I'll Always Go,80,tbd,"Jun 16, 2017"
Dustin Wong,Are Euphoria,77,tbd,"Jun 16, 2017"
Various Artists,Pop Makossa: Invasive Dance Beat of Cameroon,74,tbd,"Jun 16, 2017"
Thelonious Monk,Les Liaisons Dangereuses 1960,92,7.7,"Jun 16, 2017"
Chain & the Gang,Best of Crime Rock,78,tbd,"Jun 16, 2017"
Steffi,Fabric 94,82,tbd,"Jun 16, 2017"
Alex Chilton,Take Me Home and Make Me Like It,56,tbd,"Jun 16, 2017"
Single Mothers,Our Pleasure,81,tbd,"Jun 16, 2017"
Jason Loewenstein,Spooky Action,74,tbd,"Jun 16, 2017"
Moby & the Void Pacific Choir,More Fast Songs About the Apocalypse,63,tbd,"Jun 16, 2017"
Ekoplekz,Bioprodukt,78,tbd,"Jun 16, 2017"
Big Thief,Capacity,81,8.0,"Jun  9, 2017"
Cigarettes After Sex,Cigarettes After Sex,75,8.3,"Jun  9, 2017"
London Grammar,Truth Is a Beautiful Thing,68,8.3,"Jun  9, 2017"
Phoenix,Ti Amo,70,7.8,"Jun  9, 2017"
Chuck Berry,CHUCK,71,7.2,"Jun  9, 2017"
Lindsey Buckingham,Lindsey Buckingham/Christine McVie,72,7.3,"Jun  9, 2017"
Sufjan Stevens,Planetarium,72,7.7,"Jun  9, 2017"
Katy Perry,Witness,52,6.9,"Jun  9, 2017"
Anathema,The Optimist,80,8.1,"Jun  9, 2017"
All We Are,Sunny Hills,71,tbd,"Jun  9, 2017"
Rise Against,Wolves,76,8.0,"Jun  9, 2017"
Kronos Quartet,Folk Songs,72,tbd,"Jun  9, 2017"
SZA,CTRL,86,8.6,"Jun  9, 2017"
Rancid,Trouble Maker,69,6.2,"Jun  9, 2017"
Gov't Mule,Revolution Come... Revolution Go,84,tbd,"Jun  9, 2017"
Ani DiFranco,Binary,77,tbd,"Jun  9, 2017"
Slow Dancer,In a Mood,72,tbd,"Jun  9, 2017"
INVSN,The Beautiful Stories,74,tbd,"Jun  9, 2017"
Suffocation,...Of the Dark Light,72,tbd,"Jun  9, 2017"
Marika Hackman,I'm Not Your Man,80,7.7,"Jun  2, 2017"
Thea Gilmore,The Counterweight,81,tbd,"Jun  2, 2017"
Alt-J,Relaxer,65,7.0,"Jun  2, 2017"
Dua Lipa,Dua Lipa,72,7.8,"Jun  2, 2017"
Roger Waters,Is This the Life We Really Want?,72,7.5,"Jun  2, 2017"
Darren Hayman,"Thankful Villages, Vol. 2",68,tbd,"Jun  2, 2017"
Dan Auerbach,Waiting on a Song,75,7.3,"Jun  2, 2017"
Saint Etienne,Home Counties,79,7.1,"Jun  2, 2017"
Chastity Belt,I Used to Spend So Much Time Alone,79,7.1,"Jun  2, 2017"
Beach Fossils,Somersault,81,7.8,"Jun  2, 2017"
Ulrika Spacek,Modern English Decoration,71,tbd,"Jun  2, 2017"
Sweet Baboo,Wild Imagination,77,tbd,"Jun  2, 2017"
Ikonika,Distractions,78,tbd,"Jun  2, 2017"
Richard Dawson,Peasant,82,7.8,"Jun  2, 2017"
Cody ChesnuTT,My Love Divine Degree,75,tbd,"Jun  2, 2017"
Pixx,The Age of Anxiety,79,7.7,"Jun  2, 2017"
Summer Moon,With You Tonight,58,tbd,"Feb 24, 2017"
NAV,NAV,45,4.2,"Feb 24, 2017"
Great Ytene,Locus,71,tbd,"Feb 24, 2017"
NE-HI,Offers,73,tbd,"Feb 24, 2017"
Wesley Stace,Wesley Stace's John Wesley Harding,74,tbd,"Feb 24, 2017"
Dirty Projectors,Dirty Projectors,77,7.8,"Feb 21, 2017"
Roc Marciano,Rosebudd's Revenge,83,8.0,"Feb 21, 2017"
Nikki Lane,Highway Queen,78,8.1,"Feb 17, 2017"
Vant,Dumb Blood,69,6.9,"Feb 17, 2017"
Lawrence English,Cruel Optimism,82,tbd,"Feb 17, 2017"
Ryan Adams,Prisoner,79,8.0,"Feb 17, 2017"
Mac DeMarco,Another One,75,8.3,"Aug  7, 2015"
Dutch Uncles,Big Balloon,77,7.0,"Feb 17, 2017"
